学校名,住所,区,学校種別,設置区分,特別支援
さいたま市立三橋小学校,埼玉県さいたま市大宮区三橋２－２０,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立大成小学校,埼玉県さいたま市大宮区大成町２－２８２,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立芝川小学校,埼玉県さいたま市大宮区天沼町２丁目１０７７番地,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立上小小学校,埼玉県さいたま市大宮区上小町１３３７－１,大宮区,小学校,公立,知的固定・情緒固定あり
さいたま市立大砂土東小学校,埼玉県さいたま市見沼区大和田町２－９９８,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立見沼小学校,埼玉県さいたま市見沼区東大宮２－４５,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立片柳小学校,埼玉県さいたま市見沼区大字東新井２４４－１,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立七里小学校,埼玉県さいたま市見沼区大字東宮下３１２番地,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立春岡小学校,埼玉県さいたま市見沼区春岡２－２９－１,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立蓮沼小学校,埼玉県さいたま市見沼区蓮沼１０７０,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立大谷小学校,埼玉県さいたま市見沼区大字大谷１８番地,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立島小学校,埼玉県さいたま市見沼区島町５３３－２,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立東宮下小学校,埼玉県さいたま市見沼区東宮下２１５番地１,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立海老沼小学校,埼玉県さいたま市見沼区大字東新井７１０番地の５,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立春野小学校,埼玉県さいたま市見沼区春野１－１０－１,見沼区,小学校,公立,知的固定・情緒固定あり
さいたま市立与野本町小学校,埼玉県さいたま市中央区本町東３－５－２３,中央区,小学校,公立,知的固定・情緒固定あり
さいたま市立上落合小学校,埼玉県さいたま市中央区上落合４－１４－２４,中央区,小学校,公立,知的固定・情緒固定あり
